Date,Contact Title,Contact Name,Contact Office,Contact Agency,Client,Client Location,Registrant,Description,Type,Employees mentioned,Affiliated Member CRP ID,Affiliated Member Bioguide ID,Source,Contact ID,Record ID
2010-01-15,Jamestown,Tammy Lynch,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",Georgia/Ukraine Relations,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152734,43993
2010-01-15,Russian Newsweek,Ilya Arkhipov,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",Georgia/Ukraine Relations,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152735,43994
2010-01-15,,Cliff Levy,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",Georgia/Ukraine Relations,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152503,43995
2010-01-15,"Foreign Correspondent, Washington Post",Sarah Marcus,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",Georgia/Ukraine Relations,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,147795,43996
2010-01-15,Newsweek,Anna Nemtsovsa,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",Georgia/Ukraine Relations,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152736,43997
2010-01-15,Wall Street Journal,Samantha Shields,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",Georgia/Ukraine Relations,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152737,43998
2010-01-15,International Herald Tribune,David Jolly,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",Georgia/Ukraine Relations,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152526,43999
2010-01-15,"Education Reporter, The Wall Street Journal",Barbara Martinez,,Media,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",Georgia/Ukraine Relations,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,149175,44000
2010-01-15,Radio Free Europe,Brian Whitmore,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",Georgia/Ukraine Relations,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152738,44001
2010-01-15,Time Magazine,Simon Schuster,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",Georgia/Ukraine Relations,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152740,44002
