client_id,name,new_client_id,subcontractor id,x
130097,Dr. Anward Ul Haq Ahady,,,x
130167,"Dr. Nahro Mohammad Abdul Karim Al-Husseini, secretary general, Coalition of Iraqi National Unity",,,x
130346,DRC,,,x
129991,Dubai Aerospace Enterprise Ltd.,,,x
130207,Dubai Civil Aviation Authority,,,x
130350,Dubai Department of Finance,,,x
129995,"e-KBS Co., Ltd. Korean Broadcasting System",,,x
130316,Ecobank Transnational Incorporated,,,x
130024,Economic & Financial Crimes Commission of Nigeria,,,x
130149,Economie Affairs and Cultural Affairs,,,x
130100,Egyptian Press & Information Office,,,x
129738,El Al Israel Airlines,,,x
130134,Embassy of Ecuador,,,x
129870,Embassy of El Salvador,,,x
129936,Embassy Of Japan,,,x
130351,Embassy of Libya,,,x
130150,Embassy of Mexico,,,x
129832,Embassy of Panama,,,x
129952,Embassy of Poland,,,x
129916,Embassy of Singapore,,,x
130209,Embassy of Switzerland,,,x
129980,Embassy of the Bolivarian Republic of Venezuela,,,x
129985,Embassy Of The Islamic Republic Of Pakistan,,,x
129831,Embassy of the Kingdom of Morocco,,,x
129763,Embassy of the People's Republic of China,,,x
129769,Embassy of the Republic of Chad,,,x
129864,Embassy of the Republic of Kazakhstan in Washington D.C.,,,x
130206,Embassy of the Republic of Korea,,,x
129904,Embassy of the Republic of Korea to the United States,,,x
130336,Embassy of the Republic of Malta to the United States,,,x
130320,Embassy of the Republic of Pakistan,,,x
130058,Embassy of the Republic of Serbia,,,x
129843,Embassy of the Republic of Turkey,,,x
130254,Embassy of the U.A.E.,,,x
130247,Embassy of Venezuela,,,x
130022,Embassy of Vietnam,,,x
130110,Emin Abufele,,,x
130154,Endeavor Group representatives on behalf of Oleg Deripaska,,,x
129755,ENIT - Agenzia Nazionale del Turismo (Italian Government Tourist Board),,,x
130268,Enterprise Estonia,,,x
130192,Enterprise Ireland,,,x
130326,Enterprise Saskatchewan,,,x
129878,Ethiopian People Revolutionary Party,,,x
130009,European Travel Commission,,,x
129886,Executive Affairs Authority of the Government of Abu Dhabi,,,x
130322,Executive Council of Dubai,,,x
129836,"Executive Office of Dubai, et al.",,,x
130020,Executive Office of His Highness Sheikh Mohammed Bin Rashad Al Maktoum,,,x
130051,"Fair Trade Center, Institute for International Trade and Investment Japan",,,x
129807,"Far East Trade Service, Inc.",,,x
129883,Federacion Nacional De Cafeteros De Colombia,,,x
130379,Federacion Nacional de Departamentos,,,x
129895,Federal Economic Chamber of Commerce (Wirtschaftskammer Oesterreich),,,x
130091,Federal Republic of Nigeria,,,x
129918,Federation of German Industries / Bundesverband der Deutschen Industrie (BDI),,,x
