Jim McDermott (WA),3454995
Jackie Speier (CA),3454992
Bob Filner (CA),3454988
Christopher Bond (MO),3454986
Christopher Bond (MO),3455040
Bob Filner (CA),3455041
Solomon Ortiz (D-TX),3456586
John Tanner (D-TN),3456585
Ben Cardin (D-MD),3456584
Russ Carnahan (D-MO),3456583
Bill Delahunt (D-MA),3456582
Solomon Ortiz (D-TX),3456579
Mike Ross (D-AR),3456578
Brad Miller (D-NC),3456577
Mike McMahon (D-NY),3456576
Russ Carnahan (D-MO),3456575
Bill Delahunt (D-MA),3456574
Gene Green (D-TX),3456573
Eni Faleomavaega (D-AS),3456572
Silvestre Reyes (D-TX),3456571
Solomon Ortiz (D-TX),3456570
Ike Skelton (D-MO),3456569
Howard Berman (D-CA),3456568
John Tanner (D-TN),3456567
Russ Carnahan (D-MO),3456805
Allyson Schwartz (D-PA),3457088
Allyson Schwartz (D-PA),3457021
Allyson Schwartz (D-PA),3457020
Solomon Ortiz (D-TX),3456846
Charles Dijou (R-HI),3458582
Mike Coffman (R-CO),3458814
Mike Johanns (R-NE),3458813
Jeff Merkley (D-OR),3458812
Ann Kirkpatrick (D-AZ),3458811
Jim Himes (D-CT),3458810
Aaron Schock (R-IL),3458808
Paul Tonko (D-NY),3458807
Mr. Ron Hagen (GNFA),3458711
Rep. Alcee Hastings (FL),3458980
Rep. Jason Chaffetz (UT),3458978
Mike Coffman (CO),3458977
Rep. Steven Rothman (NJ),3458967
Rep. Gary Ackerman (NY),3458966
Rep. Gene Taylor (MS),3458965
Rep. John Carter (TX),3458964
Adam Smith (WA),3458963
Sen. Daniel Inouye (HI),3458956
Timothy Disher (Ret),3458947
Gene Taylor (MS),3458945
Rep. John Tanner (TN),3458991
Rep. Bob Inglis (SC),3458990
Rep. Lawrence Kissell (NC),3458986
James Larocco (Ret),3458984
Rep. Betty McCollum (MN),3459024
Maurice Hinchey (NY),3459023
Rep. Dennis Rehberg (MT),3459022
Rep. Kay Granger (TX),3459015
Rep. Rush Holt (NJ),3459008
Rep. John Boccieri (OH),3459007
Sen. Benjamin Cardin (MD),3459006
Rep. Joseph Pitts (PA),3459005
Sen. Christopher Bond (MO),3459004
Rep Michael Quigley (IL),3459025
Betty McCollum (MN),3459044
Carolyn Cheeks Kilpatrick (MI),3459043
Darrell Issa (CA),3459042
Peter Hoekstra (MI),3459041
Kay Granger (TX),3459040
Jeff Fortenberry (NE),3459039
Randy Forbes (VA),3459038
John Dingell (MI),3459037
Steve Buyer (IN),3459036
Roscoe Bartlett (MD),3459035
Rep. Brad Miller (NC),3459033
Gene Taylor (MS),3459027
Dana Rohrabacher (CA),3459026
Wyche Fowler (GA),3459078
Rep. Williams Owens (NY),3459072
Jon Porter (NV),3459070
