clientreg_id,registration,reg_id,client_id,nclient_id,file_id
195,133,5781,178,84811,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
193,133,5781,37,84812,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
204,134,5781,188,84812,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
203,134,5781,178,84812,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
202,134,5781,191,84812,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
201,134,5781,37,84812,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
200,134,5781,292,84813,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
199,134,5781,312,84814,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
207,135,5781,296,84815,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
208,136,5781,162,84816,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
209,137,5781,183,84817,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
210,138,5781,165,84818,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
212,139,5781,92,84819,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
211,139,5781,310,84820,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
214,140,5781,281,84821,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
215,141,5781,7,84822,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
198,133,5781,302,84823,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
205,134,5781,303,84823,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
206,134,5781,302,84823,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
213,139,5781,311,84824,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
216,143,5781,183,84824,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
217,143,5781,31,84825,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
218,143,5781,260,84826,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
219,144,5781,195,84826,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
220,145,5781,369,84827,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
221,146,5781,289,84827,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
222,147,5781,206,84828,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
223,148,5781,279,84829,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
224,148,5781,9,84830,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
225,148,5781,21,84831,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
226,148,5781,294,84832,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
227,148,5781,131,84833,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
228,148,5781,361,84834,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
229,148,5781,11,84835,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
230,148,5781,29,84836,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
231,149,5781,34,84837,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
232,150,5781,193,84838,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
379,237,5781,193,84838,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
234,152,5781,77,84838,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
235,153,5781,33,84839,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
236,154,5781,280,84840,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
237,155,5781,26,84841,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
238,155,5781,243,84842,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
239,155,5781,76,84843,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
240,156,5781,76,84843,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
241,156,5781,72,84844,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
242,156,5781,243,84844,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
243,156,5781,26,84844,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
244,157,5781,310,84844,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
245,158,5781,310,84844,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
256,163,5781,309,84845,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
887,573,5781,151,84846,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
885,573,5781,284,84847,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
886,573,5781,89,84848,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
258,165,5781,309,84848,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
413,245,5781,13,84849,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
884,573,5781,118,84850,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
883,573,5781,108,84851,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
882,573,5781,105,84852,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
881,573,5781,25,84852,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
880,573,5781,115,84853,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
888,574,5781,89,84853,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
889,574,5781,108,84853,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
890,574,5781,105,84853,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
891,574,5781,284,84853,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
892,574,5781,118,84853,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
893,574,5781,287,84854,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
894,574,5781,82,84855,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
895,574,5781,301,84856,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
896,574,5781,25,84856,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
