Dennis Moore,"Meeks, Gregory W."
James Moran,"Meeks, Gregory W."
John Murtha,"Meeks, Gregory W."
Ross Barfield,Roosevelt Barfield
Ross Barfield,Roosevelt Barfield
Ackerman,Gary Ackerman
Yuan,Jason Yuan
Ben Siegrist,Benjamin Siegrist
Amber Cottle,"Amber Cottle, Stephen Schaefer, Chelsea Thomas, Claudia Poteet, David Ross, David Johanson"
Stephen Schaefer,"Amber Cottle, Stephen Schaefer, Chelsea Thomas, Claudia Poteet, David Ross, David Johanson"
Chelsea Thomas,"Amber Cottle, Stephen Schaefer, Chelsea Thomas, Claudia Poteet, David Ross, David Johanson"
Claudia Poteet,"Amber Cottle, Stephen Schaefer, Chelsea Thomas, Claudia Poteet, David Ross, David Johanson"
David Ross,"Amber Cottle, Stephen Schaefer, Chelsea Thomas, Claudia Poteet, David Ross, David Johanson"
David Johansen,"Amber Cottle, Stephen Schaefer, Chelsea Thomas, Claudia Poteet, David Ross, David Johanson"
Ben Siegrist,Benjamin Siegrist
Greg Meeks,"Meeks, Gregory W."
Greg Meeks,"Meeks, Gregory W."
Bill Harper,Bill Harper and Peter Frosch
Peter Frosch,Bill Harper and Peter Frosch
Bill Harper,Bill Harper and Peter Frosch
Peter Frosch,Bill Harper and Peter Frosch
Ed Markey,"Markey, Edward J."
Ed Markey,"Markey, Edward J."
Sharon Wagener,"Sharon Wagener, Tony Buckles"
Tony Buckles,"Sharon Wagener, Tony Buckles"
Betsy Arnold,"Betsy Arnold, Kevin McTermott"
Kevin McTermott,"Betsy Arnold, Kevin McTermott"
Ellison,Keith Ellison
Rohrabacher,Dana Rohrabacher
Scalise,Steve Scalise
Tara Smith,"Lanier Avant, Tara Smith"
Jack Pratt,"Jack Pratt, Michael Pratt"
Michael Pratt,"Jack Pratt, Michael Pratt"
David Bolling,"David Boling, James Savage"
James Savage,"David Boling, James Savage"
Jason Mahler,"Jason Mahler, Jena Gross"
Jena Gross,"Jason Mahler, Jena Gross"
Lanier Avant,"Lanier Avant, Tara Smith"
Algene Sajery,"Algene Sajery, Rachel Lipsey, Jeremy Alexander"
Rachel Lipsy,"Algene Sajery, Rachel Lipsey, Jeremy Alexander"
Jeremy Alexander,"Algene Sajery, Rachel Lipsey, Jeremy Alexander"
Lisa Austin,"Lisa Austin, Andrew Dohrmann"
Andrew Dohrmann,"Lisa Austin, Andrew Dohrmann"
Sophia King,"Sophia King, Pat Fisher"
Pat Fisher,"Sophia King, Pat Fisher"
Scott Nishioki,"Scott Nishioki, Juan Lopez"
Juan Lopez,"Scott Nishioki, Juan Lopez"
Kim Zarish-Bec,"Kim Zarish-Bec, Michael Spira"
Michael Spira,"Kim Zarish-Bec, Michael Spira"
Ackerman,Gary Ackerman
"Rockefeller, Nelson, Wyden, Stabenow, Hatch, Crapo, Bunning","Jay Rockefeller, Ben Nelson, Ron Wyden, Debbie Stabenow, Orrin Hatch, Mike Crapo, Jim Bunning"
Isakson,"Isakson, Wicker, Menendez, Rische, and Barasso"
Wicker,"Isakson, Wicker, Menendez, Rische, and Barasso"
Menendez,"Isakson, Wicker, Menendez, Rische, and Barasso"
Rische,"Isakson, Wicker, Menendez, Rische, and Barasso"
Barasso,"Isakson, Wicker, Menendez, Rische, and Barasso"
Greg Meeks,"Meeks, Gregory W."
Maya Pilatowicz,Maya Pilatowicz and Diane Smith
Diane Smith,Maya Pilatowicz and Diane Smith
Sarah Drake,Sarah Drake and Hardy Lott
Hardy Lott,Sarah Drake and Hardy Lott
Maggie Beal,Margaret Beal and Kathryn Wise
Kathi Wise,Margaret Beal and Kathryn Wise
Sarah Margon,"Sarah Margon, Brian Chelcun, and Jeremy Tollefson"
Brian Chelcun,"Sarah Margon, Brian Chelcun, and Jeremy Tollefson"
Jeremy Tollefson,"Sarah Margon, Brian Chelcun, and Jeremy Tollefson"
Staci Lancaster,Staci Lancaster and Karen Brown
Karen Brown,Staci Lancaster and Karen Brown
Joel Starr,Joel Starr and Wendi Price
Wendi Price,Joel Starr and Wendi Price
Fujisaki,Ichiro Fujisaki
Ackerman,"Ackerman, Gary"
Ackerman,"Ackerman, Gary"
Hagel,"Hagel, Chuck"
James Mason,James Mason and other staff
other staff,James Mason and other staff
Madeline Bordollo,"Bordallo, Madeleine Z."
B. Weisel,Barbara Weisel
J. Kallmer,Jonathan Kallmer
Bobby Scott (VA),"Scott, Robert C. (Bobby)"
Stephen Martinko,Stephen Martinko and Patricia Villarreal
Patricia Villarreal,Stephen Martinko and Patricia Villarreal
McCrery,"McCrery, Jim"
McCrery,"McCrery, Jim"
Yvette Clark,"Clarke, Yvette D."
Mike Sommers,"Mike Sommers, Stacey Dion"
Stacey Dion,"Mike Sommers, Stacey Dion"
Amanda Thorpe,Amanda Rogers Thorpe
Ken Myers,Kenneth Myers III
Ken Myers,Kenneth Myers III
Ken Myers,Kenneth Myers III
Lucien Niemeyer,Lucien Niemeyer and Mike McCord
Mike McCord,Lucien Niemeyer and Mike McCord
Kelly Lungren,Kelly Lungren-McCullom
Sen. John Rockefeller,"Rockefeller, John D. (Jay) IV"
Liz Sears Smith,Elizabeth Sears Smith
Jen Stewart,Jennifer Stewart
Betsy Hawkings,Betsy Wright Hawkings
Bob King,Robert R King
Chris Crawford,"Chris Crawford, Jeffrey Glenn"
Jeffrey Glenn,"Chris Crawford, Jeffrey Glenn"
Lale Mamaux,"Lale Mamaux, Marlene Kaufmann"
Marlene Kaufmann,"Lale Mamaux, Marlene Kaufmann"
Alice Holmes,Alice Holmes-McKoy
Bob King,Robert R King
Ken Myers,Kenneth Myers III
Ken Myers,Kenneth Myers III
