orig id,replace with id,name,stripped name
130210,,Critical National Infrastructure Authority - Abu Dhabi (CNIA),Critical National Infrastructure Authority - Abu Dhabi (CNIA)
130211,,Critical National Infrastructure Authority (CNIA),Critical National Infrastructure Authority (CNIA)
129983,,Government of the Republic of Croatia,Croatia
129851,,Cross-Strait Interflow Prospect Foundation,Cross-Strait Interflow Prospect Foundation
130271,,"CTMO-HOPE Commission, Office of the Prime Minister, Republic of Haiti","CTMO-HOPE Commission, Office of Prime Minister, Haiti"
130532,,Curacao,Curacao
129766,,Government of the Republic of Cyprus,Cyprus
129898,,"Czech Ministry of Foreign Affairs, Czech Centers Division","Czech Ministry of Foreign Affairs, Czech Centers Division"
129900,,People's Daily Overseas Edition,Daily Overseas Edition
130185,,Danish Meat Associations (DMA),Danish Meat Associations (DMA)
130362,,"Defense Procurement Office, United Kingdom","Defense Procurement Office, Kingdom"
130392,,Defense SA/ Government of South Australia,Defense SA/ South Australia
130523,,Delegation of Catalonia to the United States of America,Delegation of Catalonia to States of America
129973,,Delegation of The European Commission to The United States,Delegation of European Commission to States
130170,,Democracy International,Democracy International
129873,,"Government of the People's Democratic Republic of Algeria, Embassy","Democratic Algeria, Embassy"
130104,,Democratic Party of Albania,Democratic Party of Albania
130396,,People's Democratic Party of the Republic of Equatorial Guinea,Democratic Party of Equatorial Guinea
129963,,Democratic Progressive Party,Democratic Progressive Party
130142,,Democratic Socialist Republic of Sri Lanka,Democratic Socialist Sri Lanka
130166,,Democratic Society Party (DTP),Democratic Society Party (DTP)
129856,,"Department Of Enterprise Trade And Investment, A UK Government Department In Northern Ireland","Department Of Enterprise Trade And Investment, A UK Government Department In Northern Ireland"
130049,,"Department of Trade & Industry, Republic of the Philippines","Department of Trade & Industry, Philippines"
130227,,Deutsche Telekom AG,Deutsche Telekom AG
130238,,Deutsche Zentrale fur Tourisms,Deutsche Zentrale fur Tourisms
129939,,The Development Bank of Japan,Development Bank of Japan
129976,,Development Economic Western Switzerland,Development Economic Western Switzerland
130028,,Dezenhall,Dezenhall
130397,,Direction des Constructions Navales Services,Direction des Constructions Navales Services
130224,,Government of the Federal District (Mexico City),District (Mexico City)
130129,,Republic of Djibouti,Djibouti
130412,,Dmitry Shpenov,Dmitry Shpenov
130428,,Dmitry Shpenov/the Party of Regions,Dmitry Shpenov/Party of Regions
130072,,The Government of the Dominican Republic/Asociacion Dominicana de Hacendos y Agricultores,Dominican Republic/Asociacion Dominicana de Hacendos y Agricultores
130097,,Dr. Anward Ul Haq Ahady,Dr. Anward Ul Haq Ahady
130167,,"Dr. Nahro Mohammad Abdul Karim Al-Husseini, secretary general, Coalition of Iraqi National Unity","Dr. Nahro Mohammad Abdul Karim Al-Husseini, secretary general, Coalition of Iraqi National Unity"
130346,,DRC,DRC
130208,,Government of Dubai,Dubai
129991,,Dubai Aerospace Enterprise Ltd.,Dubai Aerospace Enterprise Ltd.
130207,,Dubai Civil Aviation Authority,Dubai Civil Aviation Authority
130350,,Dubai Department of Finance,Dubai Department of Finance
129995,,"e-KBS Co., Ltd. Korean Broadcasting System","e-KBS Co., Ltd. Korean Broadcasting System"
130316,,Ecobank Transnational Incorporated,Ecobank Transnational Incorporated
130024,,Economic & Financial Crimes Commission of Nigeria,Economic & Financial Crimes Commission of Nigeria
129895,,Federal Economic Chamber of Commerce (Wirtschaftskammer Oesterreich),Economic Chamber of Commerce (Wirtschaftskammer Oesterreich)
130498,,Economic Community Of West African States,Economic Community Of West African States
130149,,Economie Affairs and Cultural Affairs,Economie Affairs and Cultural Affairs
130422,,Republic of Ecuador,Ecuador
130348,,"Government of Ecuador, Embassy of the Republic of Ecuador","Ecuador, Embassy of Ecuador"
130100,,Egyptian Press & Information Office,Egyptian Press & Information Office
129738,,El Al Israel Airlines,El Al Israel Airlines
130000,,Government of El Salvador,El Salvador
129763,,Embassy of the People's Republic of China,Embassy of  China
130254,,Embassy of the United Arab Emirates,Embassy of Arab Emirates
130179,,The Embassy of the Republic of Azerbaijan,Embassy of Azerbaijan
130445,,Embassy of the Kingdom of Bahrain,Embassy of Bahrain
129980,,Embassy of the Bolivarian Republic of Venezuela,Embassy of Bolivarian Venezuela
129769,,Embassy of the Republic of Chad,Embassy of Chad
130134,,Embassy of Ecuador,Embassy of Ecuador
129870,,Embassy of El Salvador,Embassy of El Salvador
130527,,Embassy of the Grand Duchy of Luxembourg,Embassy of Grand Duchy of Luxembourg
130437,,Embassy of the Hashemite Kingdom of Jordan,Embassy of Hashemite Jordan
130174,,The Embassy of India,Embassy of India
129985,,Embassy Of The Islamic Republic Of Pakistan,Embassy Of Islamic Pakistan
130278,,The Embassy of the Islamic Republic of Pakistan,Embassy of Islamic Pakistan
129936,,Embassy Of Japan,Embassy Of Japan
129864,,Embassy of the Republic of Kazakhstan in Washington D.C.,Embassy of Kazakhstan in Washington D.C.
130206,,Embassy of the Republic of Korea,Embassy of Korea
129904,,Embassy of the Republic of Korea to the United States,Embassy of Korea to States
130351,,Embassy of Libya,Embassy of Libya
130432,,Embassy of the Republic of Mali to the United States,Embassy of Mali to States
130336,,Embassy of the Republic of Malta to the United States,Embassy of Malta to States
130150,,Embassy of Mexico,Embassy of Mexico
129831,,Embassy of the Kingdom of Morocco,Embassy of Morocco
130439,,Embassy of New Zealand,Embassy of New Zealand
130402,,Embassy of the Federal Republic of Nigeria,Embassy of Nigeria
130320,,Embassy of the Republic of Pakistan,Embassy of Pakistan
129832,,Embassy of Panama,Embassy of Panama
129764,,The Embassy of the Republic of Peru,Embassy of Peru
129952,,Embassy of Poland,Embassy of Poland
129767,,Royal Embassy of Saudi Arabia,Embassy of Saudi Arabia
130182,,The Royal Embassy of Saudi Arabia (through Qorvis Communications),Embassy of Saudi Arabia (through Qorvis Communications)
130058,,Embassy of the Republic of Serbia,Embassy of Serbia
129916,,Embassy of Singapore,Embassy of Singapore
130180,,The Embassy of Sri Lanka,Embassy of Sri Lanka
130425,,Embassy of the Republic of Sudan,Embassy of Sudan
130209,,Embassy of Switzerland,Embassy of Switzerland
129843,,Embassy of the Republic of Turkey,Embassy of Turkey
130247,,Embassy of Venezuela,Embassy of Venezuela
130022,,Embassy of Vietnam,Embassy of Vietnam
130110,,Emin Abufele,Emin Abufele
